E1 H2
E2 H2
E3 H3
E4 H2
E5 H2
E6 H2
E7 H3
E8 H3
E9 H2
E10 H1 H2
E11 H3 H3
E12 H3 H3
E13 H3 H3
E14 H3 H2
E15 H3 H1
E16 H3 H1
E17 H3 H1
E18 H3 H1
E19 H3 H2
E20 H3 H2
E21 H3 H2
E22 H3 H1
E23 H3 H2
E24 H3 H1
E25 H3 H2
E26 H2 H1
E27 H2 H2
E28 H2 H1
E29 H2 H2
E30 H2 H2
E31 H2 H2
E32 H2 H2
E33 H2 H2
E34 H2 H2
E35 H2 H1
E36 H2 H1
E37 H2 H1
E38 H2 H1
E39 H2 H1
E40 H2 H1
E41 H2 H2
E42 H2 H3
E43 H3 H2
E44 H2 H3
E45 H2 H3
E46 H2 H3
E47 H2 H3
E48 H1
E49 H3
E50 H2 H2
